English,Korean
Eastern,동방
Serpent Neck AD,뱀의 땅
Western,서방
Northern,북방
Miglance Palace,미글렌스 왕궁
IDA School,IDA 스쿨
Dragon Palace,용궁
Purgatory,프리아레스
Baruoki,바르오키
KMS Eastern Division,KMS사
COA,COA
Underworld,연옥계
Void Fist Style,보헨일도류
Time's Empire,시간 제국
Arcadia,아르카디아
Blacksmith,대장간
Cleric,성직자
Scientist,과학자
Bard,음유 시인
Dragon Slayer,드래곤 킬러
Lumberjack,나무꾼
Royalty,왕족
Military,밀리터리
Spy,첩자
Prince of Time,시간의 황자
Elf,엘프
Beast,마수
Synth Human,합성인간
Mob,집단
Dwarf,드워프
Fishfolk,어인
Yokai,요괴
Titan,타이탄
Namer,작명가
Nap,낮잠
Outlaw,무법자
Bookworm,독서가
Dog Lover,애견가
Cat Lover,애묘가
Risky Cat Lover,험묘가
Seagull Lover,괭이갈매기 애호가
Sweet Tooth,단것 애호가
Celestial Sprite Lover,부천수 애호가
Cooking,요리
Medium,영매 체질
Revenge,복수
Rider,라이더
Spirit Speaker,정령 대화
Animal Speaker,동물 대화
Good Hearing,귀가 밝음
Big Eater,대식가
Mask,가면
Glasses,안경
Hood,후드
Shield,방패
Gun,총
Main Character,주인공
Heavenly Guidance,천계의 인도
Netherworld's Call,명계의 부름
Childhood Friend,죽마고우
Lovesick,상사병
Dragon,용
Machine,기계
Curse,저주
Geo,지오
Funeral,장례
Amnesia,기억 상실
Seal,봉인
Master of All,만능의 지배자
Shy,낯가림
Paradox Dreamsers Leader,역설 몽상단 리더
Future Revolutionary,미래 혁명가
Phantom Thieves of Hearts,마음의 괴도단
Neo Dream Radicals,신 몽상 과격단
Neo Spacetime Master Style,신 시공 초한 유파
Gathering,채집
Mining,채굴
Equipment,장비
Art,미술
Biology,생물
Gourmet,미식
Tales of,테일즈 오브
Lost Lab,로스트 랩
Wheels of Time,시간의 상흔의 윤무
Alchemist,연금술사
Concerto Art,콘체르토 아트
Indian Traveler,인도의 트래블러
Magic Sword,마검
KOF,KOF
Atelier,아틀리에
Fighting Game,격투기
