English,Korean
Eastern,동방
Serpent Neck AD,뱀의 땅
Dragon Palace,용궁
Beast King's Castle,여의 땅
Western,서방
West,서방
Northern,북방
Miglance Palace,미글렌스 왕궁
IDA School,IDA 스쿨
Purgatory,프리아레스
Baruoki,바르오키
KMS Eastern Division,KMS사
KMS,KMS
Complex Dream,COA
COA,COA
Underworld,연옥계
Void Fist Style,보헌일도류
Time's Empire,시간 제국
Chronos Empire,크로노스 제국
Arcadia,아르카디아
Blacksmith,대장간
Cleric,성직자
Clergy,성직자
Scientist,과학자
Bard,음유시인
Minstrel,음유시인
Dragon Slayer,드래곤 킬러
Dragon Killer,드래곤 킬러
Lumberjack,나무꾼
Woodcutter,나무꾼
Royalty,왕족
Military,밀리터리
Spy,첩자
Prince of Time,시간의 황자
Elf,엘프
Beast,마수
Cyborg,합성인간
Synth Human,합성인간
Mob,집단
Dwarf,드워프
Fishfolk,어인
Fishman,어인
Yokai,요괴
Titan,타이탄
Namer,작명가
Nicknamer,별명짓기
Nap,낮잠
Napper,낮잠꾸러기
Outlaw,무법자
Bookworm,독서가
Dog Lover,개 애호가
Dog lover,개 애호가
Cat Lover,고양이 애호가
Cat lover,고양이 애호가
Cat Hater,고양이 혐오
Risky Cat Lover,험묘가
Seagull Lover,괭이갈매기 애호가
Sweet Tooth,단것 애호가
Sweet tooth,단것 애호가
Celestial Sprite Lover,부천수 애호가
Spicy Lover,매운맛 애호가
Cooking,요리
Medium,영매 체질
Revenge,복수
Avenger,복수자
Rider,라이더
Spirit Speaker,정령 대화
Spirit Talker,정령 대화
Animal Speaker,동물 대화
Animal Talker,동물 대화
Good Hearing,귀가 밝음
Sharp Ears,예민한 귀
Big Eater,대식가
Glutton,대식가
Mask,가면
Glasses,안경
Hood,후드
Shield,방패
Gun,총
Main Character,주인공
Protagonist,주인공
Heavenly Guidance,천계의 인도
Guiding Light,인도하는 빛
Netherworld's Call,명계의 부름
Luring Shadow,유혹하는 그림자
Childhood Friend,죽마고우
Lovesick,상사병
Dragon,용
Machine,기계
Machinery,기계
Curse,저주
Cursed,저주받은
Geo,지오
Funeral,장례
Amnesia,기억 상실
Seal,봉인
Bind,속박
Master of All,만능의 지배자
Power to Rule,지배력
Shy,낯가림
Estrangement,소외
Paradox Dreamsers Leader,역설 몽상단 리더
Paradoxical Dreamers' Leader,역설적 몽상가 리더
Future Revolutionary,미래 혁명가
Phantom Thieves of Hearts,마음의 괴도단
Neo Dream Radicals,신 몽상 과격단
New Radical Dreamers,새로운 급진 몽상가들
Neo Spacetime Master Style,신 시공 초한 유파
New Time Drift,새로운 시간 표류
Gathering,채집
Forager,채집가
Mining,채굴
Miner,광부
Equipment,장비
Weapons,무기
Art,미술
Biology,생물
Zoology,동물학
Gourmet,미식
Tales of,테일즈 오브
Lost Lab,로스트 랩
Lost Laboratory,로스트 연구소
Wheels of Time,시간의 상흔의 윤무
Scars of the Wheel of Time,시간의 바퀴 상처
Alchemist,연금술사
Concerto Art,콘체르토 아트
Concerto Artes,콘체르토 아르테스
Indian Traveler,인도의 트래블러
Traveler,여행자
Magic Sword,마검
Demon Sword,마검
KOF,KOF
Atelier,아틀리에
Fighting Game,격투기
MMA,격투기
Ninja,닌자
Fairy,요정
Spirit-fused,정령 융합
Mounted,기마
Scallywag,악당
Straw Dummy,허수아비
Land of Mi,미의 땅
Land of Ro,로의 땅
Land of Shin,신의 땅
Fleareth,플레아레스
Itto-Ryu,일도류
Bow,활
Fists,권투
Sword,검
Katana,도
Staff,지팡이
Hammer,해머
Ax,도끼
Lance,창
Fire,화
Water,수
Wind,풍
Earth,토
Crystal,크리스탈
Shade,어둠
Thunder,뢰
